(217, '8Q', 'Baker Aviation', '', '', 0, 'AmadeusProvider', 'false'),
(218, '8R', 'Sol Lineas Aereas', '', '', 0, 'AmadeusProvider', 'false'),
(219, '8S', 'Shun Tak China', '', '', 0, 'AmadeusProvider', 'false'),
(220, '8T', 'Air Tindi Ltd', '', '', 0, 'AmadeusProvider', 'false'),
(221, '8U', 'Afriqiyah Airways', '', '', 0, 'AmadeusProvider', 'true'),
(222, '8V', 'Wright Air Services', '', '', 0, 'AmadeusProvider', 'false'),
(223, '8W', 'Private Wings', '', '', 0, 'AmadeusProvider', 'true'),
(224, '8X', 'Amadeus Eight', '', '', 0, 'AmadeusProvider', 'false'),
(225, '8Y', 'Air Burundi', '', '', 0, 'AmadeusProvider', 'false'),
(226, '8Z', 'Wizz Air Bulgaria Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(227, '9A', 'Aladia Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(228, '9B', 'Accesrail', '', '', 0, 'AmadeusProvider', 'true'),
(229, '9C', 'Spring Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(230, '9D', 'Toumai Air Tchad', '', '', 0, 'AmadeusProvider', 'true'),
(231, '9E', 'Pinnacle Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(232, '9F', 'Eurostar', '', '', 0, 'AmadeusProvider', 'true'),
(233, '9G', '9G Rail Ltd', '', '', 0, 'AmadeusProvider', 'true'),
(234, '9H', 'Dutch Antilles Express', '', '', 0, 'AmadeusProvider', 'true'),
(235, '9I', 'Helitrans As', '', '', 0, 'AmadeusProvider', 'true'),
(236, '9J', 'Dana Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(237, '9K', 'Cape Air', '', '', 0, 'AmadeusProvider', 'true'),
(238, '9L', 'Colgan Air', '', '', 0, 'AmadeusProvider', 'false'),
(239, '9M', 'Central Mountain Air', '', '', 0, 'AmadeusProvider', 'true'),
(240, '9N', 'Satena', '', '', 0, 'AmadeusProvider', 'false'),
(241, '9O', 'National Airways Cameroon', '', '', 0, 'AmadeusProvider', 'true'),
(242, '9P', 'Palau National Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(243, '9Q', 'PB Air', '', '', 0, 'AmadeusProvider', 'false'),
(244, '9R', 'Satena', '', '', 0, 'AmadeusProvider', 'false'),
(245, '9S', 'Amadeus Pdf 9S', '', '', 0, 'AmadeusProvider', 'false'),
(246, '9T', 'Travelspan Gt Inc', '', '', 0, 'AmadeusProvider', 'false'),
(247, '9U', 'Air Moldova', '', '', 0, 'AmadeusProvider', 'true'),
(248, '9V', 'Avior', '', '', 0, 'AmadeusProvider', 'false'),
(249, '9W', 'Jet Airways', '', '', 10, 'AmadeusProvider', 'true'),
(250, '9X', 'New Axis Airways', '', '', 0, 'AmadeusProvider', 'true'),
(251, '9Y', 'Mdlr Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(252, 'A0', 'L\'Avion', '', '', 0, 'AmadeusProvider', 'true'),
(253, 'A1', 'G2 Switch Works', '', '', 0, 'AmadeusProvider', 'false'),
(254, 'A2', 'Cielos Del Peru', '', '', 0, 'AmadeusProvider', 'false'),
(255, 'A3', 'Aegean ', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(256, 'A4', 'Aerocomercial Oriente Norte', '', '', 0, 'AmadeusProvider', 'false'),
(257, 'A5', 'Airlinair', '', '', 0, 'AmadeusProvider', 'true'),
(258, 'A6', 'Air Alps Aviation', '', '', 0, 'AmadeusProvider', 'true'),
(259, 'A7', 'Air Comet', '', '', 0, 'AmadeusProvider', 'true'),
(260, 'A8', 'Benin Golf Air', '', '', 0, 'AmadeusProvider', 'true'),
(261, 'A9', 'Georgian Airways', '', '', 0, 'AmadeusProvider', 'true'),
(262, 'AA', 'American', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(263, 'AB', 'Air Berlin', '', '', 0, '\nAmadeusProvider;ERetailWebFareProvider;TravelFusion2Provider\n', 'true'),
(264, 'AC', 'Canada', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(265, 'AD', 'Azul ', '', '', 0, 'AmadeusProvider', 'true'),
(266, 'AE', 'Mandarin Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(267, 'AF', 'France', '', '', 0, 'AmadeusProvider', 'true'),
(268, 'AH', 'Air Algerie', '', '', 0, 'AmadeusProvider', 'true'),
(269, 'AI', 'Air India', '', '', 10, 'Amadeus Provider', 'true'),
(270, 'AJ', 'Aerocontractors', '', '', 0, 'AmadeusProvider', 'true'),
(271, 'AJ0', 'Anadolu Jet', '', '', 0, 'THYProvider', 'false'),
(272, 'AK', 'Airasia', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(273, 'AL', 'Midwest Connect', '', '', 0, 'AmadeusProvider', 'false'),
(274, 'AM', 'Aeromexico', '', '', 0, 'AmadeusProvider', 'true'),
(275, 'AO', 'Avianova Lcc', '', '', 0, 'AmadeusProvider', 'true'),
(276, 'AP', 'Air One', '', '', 0, 'AmadeusProvider', 'true'),
(277, 'AQ', 'Aloha Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(278, 'AR', 'Aerolineas Argentinas', '', '', 0, 'AmadeusProvider', 'true'),
(279, 'AS', 'Alaska Airlines', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(280, 'AS2', 'Aerostar', '', '', 0, 'TravelFusion2Provider', 'true'),
(281, 'AT', 'Royal Air', '', '', 0, 'AmadeusProvider', 'true'),
(282, 'AU', 'Austral Lineas Aereas', '', '', 0, 'AmadeusProvider', 'true'),
(283, 'AV', 'Avianca', '', '', 0, 'AmadeusProvider', 'true'),
(284, 'AW', 'Rutas Aereas De Venezuela Rav', '', '', 0, 'AmadeusProvider', 'true'),
(285, 'AX', 'American Connection', '', '', 0, 'AmadeusProvider', 'true'),
(286, 'AY', 'Finnair', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(287, 'AZ', 'Alitalia', '', '', 0, 'AmadeusProvider', 'true'),
(288, 'B1', 'Cions Software', '', '', 0, 'AmadeusProvider', 'false'),
(289, 'B2', 'Belavia', '', '', 0, 'AmadeusProvider', 'true'),
(290, 'B3', 'Bellview Airlines', '', '', 0, 'AmadeusProvider', 'true'),
